Torrent,Links
"<span class=""icon""><i class=""flaticon-lfa10ae2da9231abb61efd008d23026bcdffddbba""></i></span>",[0] + magnet:?xt=urn:btih:DC774C6F36EF630637FF4BFCB7DF6F396028C362&dn=MTV.Video.Music.Awards.2021.EXTENDED.1080p.WEBRip.x264-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2720%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2800%2Fannounce&tr=udp%3A%2F%2Ftracker.thinelephant.org%3A12730%2Fannounce&tr=udp%3A%2F%2Ftracker.slowcheetah.org%3A14710%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce
"<span class=""icon""><i class=""flaticon-lc350dd1b98144764cc58fb4a8ea86c55eed6e1c9""></i></span>",[0] + #
"<span class=""icon""><i class=""flaticon-lf7e3dcde688853f326c41457b863e7184bc83f0d""></i></span>",[0] + http://itorrents.org/torrent/DC774C6F36EF630637FF4BFCB7DF6F396028C362.torrent
"<span class=""icon""><i class=""flaticon-lf7e3dcde688853f326c41457b863e7184bc83f0d""></i></span>",[0] + http://torrage.info/torrent.php?h=DC774C6F36EF630637FF4BFCB7DF6F396028C362
"<span class=""icon""><i class=""flaticon-lf7e3dcde688853f326c41457b863e7184bc83f0d""></i></span>",[0] + http://btcache.me/torrent/DC774C6F36EF630637FF4BFCB7DF6F396028C362
"<span class=""icon""><i class=""flaticon-lfa10ae2da9231abb61efd008d23026bcdffddbba""></i></span>",[0] + magnet:?xt=urn:btih:DC774C6F36EF630637FF4BFCB7DF6F396028C362&dn=MTV.Video.Music.Awards.2021.EXTENDED.1080p.WEBRip.x264-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2720%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2800%2Fannounce&tr=udp%3A%2F%2Ftracker.thinelephant.org%3A12730%2Fannounce&tr=udp%3A%2F%2Ftracker.slowcheetah.org%3A14710%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce
"<span class=""icon""><i class=""flaticon-l9520d1644e24f7f693652287e8f1c3ea560633e7""></i></span>",[0] + https://ttf.trmobc.com/aff_ad?campaign_id=9&aff_id=461
TheMorozko,[0] + /user/TheMorozko/
"<span class=""icon""><i class=""flaticon-l9520d1644e24f7f693652287e8f1c3ea560633e7""></i></span>",[0] + https://ttf.trmobc.com/aff_ad?campaign_id=9&aff_id=461
MOVIE,[0] + /search/MOVIE/1/
RARBG,[0] + /search/RARBG/1/
Description,[0] + #description
Files,[0] + #files
Comments,[0] + #comments
Tracker list,[0] + #tracker-list
"<img class=""img-responsive descrimg lazy"" data-original=""https://checkmy.pictures/images/2021/10/02/20596972233839542582.th.jpg"" src=""/images/profile-load.svg""/>",[0] + https://checkmy.pictures/image/SPUEv
"<img class=""img-responsive descrimg lazy"" data-original=""https://checkmy.pictures/images/2021/10/02/30238226462186924112.th.jpg"" src=""/images/profile-load.svg""/>",[0] + https://checkmy.pictures/image/SPfQy
"<img class=""img-responsive descrimg lazy"" data-original=""https://checkmy.pictures/images/2021/10/02/79705259275970121157.th.jpg"" src=""/images/profile-load.svg""/>",[0] + https://checkmy.pictures/image/SPoPL
https://www.imdb.com/title/tt14811264/,[0] + https://www.imdb.com/title/tt14811264/
